Trap

T1 =

  11×3 table

    tvec         y1vec                errvec1      
    ____    ________________    ___________________

      0                    1                      0
    0.1     1.23595505617978    0.00227699622303201
    0.2     1.55898876404494    0.00628154553360805
    0.3     2.00697404106935     0.0132585078262706
    0.4     2.63707054233531     0.0253740689121948
    0.5     3.53677696266148     0.0464340051996364
    0.6     4.84201607983417     0.0831948346963109
    0.7     6.76715500314173       0.14778632209865
    0.8     9.65557482155588      0.262243534113095
    0.9     14.0661460363407      0.467095184509731
      1     20.9233922290567      0.837855305869066


T2 =

  11×3 table

    tvec         y2vec                errvec2       
    ____    ________________    ____________________

      0                    1                       0
    0.1     1.09193498058686      0.0005420975257584
    0.2       1.170372398364    0.000765303078849033
    0.3     1.23942331334555    0.000860983715383457
    0.4     1.30148989153893     0.00089844468754019
    0.5     1.35811591998404    0.000907111686584861
    0.6     1.41036062852983    0.000900882116847468
    0.7     1.45898656538004    0.000886829553327972
    0.8     1.50456334815252    0.000868751947549429
    0.9     1.54752913995206    0.000848766180020943
      1       1.588229132647    0.000828080678797027
